category,MMSI,Vessel Name,IMO Number,Flag,Call Sign,Port of Registry,Owner Name,Owner Address,Operator Name,Operator Address,Infraction Links
matched_reg_ais,441383000,Dreampark,9929467,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,441360000,Eunhae 101,7923847,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,440261000,Eunhae 107,8712659,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,441495000,Eunhae 108,8708165,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,440201000,Eunhae 109,8609670,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,440060000,Eunhae 91,7950759,South Korea,,Busan,,,,,
matched_reg_ais,441385000,Eunjin 21,9929479,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,440594000,Everrich 636,8714152,South Korea,,Abidjan,Kumasan Marine Shipping Services,"Immeuble SCI Dynasties, Bvd de Marseille Zone 3 Treichville;",Kumasan Marine Shipping Services,"Immeuble SCI Dynasties, Bvd de Marseille Zone 3 Treichville;",
matched_reg_ais,441272000,Geumhae 206,8921353,South Korea,,,,,,,
matched_reg_ais,441206000,Geumhae 207,8618504,South Korea,,,,,,,
matched_reg_ais,440347000,Greenstar,9125334,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,440963000,Haecheon 101,8815645,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440963003,Haecheon 101,8815645,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440699000,Haecheon 11,8921250,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440941000,Haecheon 202,8714176,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,441341000,Haecheon 22,8808159,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440846000,Haecheon 303,8703892,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440787000,Haecheon 707,8821503,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA","SEA SKY MULSAN CO.,LTD.","RM301, 111, WONYANG-RO, SEO-GU, BUSAN, KOREA",
matched_reg_ais,441481000,Haecheon 808,9020118,South Korea,,KR-PUS,"SEA SKY MULSAN CO., LTD.","111, WONYANG-RO, SEO-GU, BUSAN, KOREA","SEA SKY MULSAN CO.,LTD.","RM301, 111, WONYANG-RO, SEO-GU, BUSAN, KOREA",
matched_reg_ais,440108000,Haein 27,8706832,South Korea,,BUSAN KOREA,,,,,
matched_reg_ais,441879000,Haerang 101,8827882,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,440357000,Hanara,9743435,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA",,,
matched_reg_ais,440820000,Hansung 36,8619388,South Korea,,KR-PUS,"HANSUNG ENTERPRISE CO.,LTD","63 TAEJONG-RO, YEONGDO-GU, BUSAN, KOREA",,,
matched_reg_ais,440590000,Hansung 38,8717843,South Korea,,KR-PUS,"HANSUNG ENTERPRISE CO.,LTD","63 TAEJONG-RO, YEONGDO-GU, BUSAN, KOREA",,,
matched_reg_ais,440239000,Hansung 39,9046409,South Korea,,KR-PUS,"HANSUNG ENTERPRISE CO.,LTD","63 TAEJONG-RO, YEONGDO-GU, BUSAN, KOREA",,,
matched_reg_ais,440755000,Hongjin 701,9012355,South Korea,,Busan,Hongjin Corporation,,Hongjin Corporation,,
matched_reg_ais,440854000,Hongjin 707,8608822,South Korea,,Busan,Hongjin Corporation,,Hongjin Corporation,,
matched_reg_ais,441493000,Jangbogo,9511301,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA",,,
matched_reg_ais,440581000,Joonsungho,7237250,South Korea,,,,,,,
matched_reg_ais,441472000,Jubilee,9848857,South Korea,,KR-PUS,"DONGWON INDUSTRIES CO., LTD.","68 MABANG-RO, SEOCHO-GU, SEOUL, KOREA",,,
matched_reg_ais,440203000,Kingstar,8916009,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,440216000,Kumyang 102,9041928,South Korea,,Busan,,,,,
matched_reg_ais,440816000,Kumyang 103,8804282,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,441383000,Kumyang 105,9929467,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,440773000,Kyungyang 2,8805315,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",,,
matched_reg_ais,440628000,Kyungyang 21,8815712,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,441660000,Kyungyang 3,9020106,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",,,
matched_reg_ais,441680000,Kyungyang 5,8703464,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",,,
matched_reg_ais,441811000,Kyungyang 6,8734255,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",,,
matched_reg_ais,441812000,Kyungyang 7,8734267,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",,,
matched_reg_ais,441251000,Kyungyang 8,9005297,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440647000,Kyungyang 9,8610629,South Korea,,KR-PUS,"KYUNG YANG  FISHERIES CO.,LTD","Won Yang Plaza B/D (Rm. 507) 105, WONYANG-RO,SEO-GU,BUSAN,KOREA",,,
matched_reg_ais,441667000,Meridian 8,9230646,South Korea,,Busan,Jeongil Corporation,,Jeongil Corporation,,
matched_reg_ais,440226000,Miraero,9713985,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA",,,
matched_reg_ais,440705000,Moonyoung,8709107,South Korea,,,,,,,
matched_reg_ais,440912000,Nambukho,7377452,South Korea,,,,,,,
matched_reg_ais,440919000,Namgung 501,8703854,South Korea,,KR-PUS,"NAMGUNG TUNA CO.,LTD",#90 WONYANG-RO SEO-KU BUSAN KOREA,,,
matched_reg_ais,440246000,Namgung 502,8703842,South Korea,,,,,,,
matched_reg_ais,441427000,Namgung 503,8909616,South Korea,,KR-PUS,"3T OCEAN CO.,LTD","ROOM 12 ON THE 4TH FLOOR OF THE ANNEX, 147, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440339000,Namgung 509,8619261,South Korea,,KR-PUS,"3TOCEAN CO.,LTD","ROOM 12 ON THE 4TH FLOOR OF THE ANNEX, 147, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440298000,Namgung 517,8827741,South Korea,,KR-PUS,"3T OCEAN CO.,LTD","ROOM 12 ON THE 4TH FLOOR OF THE ANNEX, 147, WONYANG-RO, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440751000,Namgung 518,8714102,South Korea,,KR-PUS,"NAMGUNG TUNA CO.,LTD",#90 WONYANG-RO SEO-KU BUSAN KOREA,,,
matched_reg_ais,273440040,Nevelsk,6821573,South Korea,,,,,,,
